file,quarter,keyword,present,last4_any,last4_count,last8_any,last8_count,last10_any,last10_count,weight4,weight8,weight10,firstpos,density,eps_surprise_pct_target,sin_season,cos_season,open_source_trend,europe_trend,competition_trend,azure_trend,hiring_trend,aws_trend,repurchase_trend,iceberg_trend,partnership_trend,retention_trend
1Q21-transcript-SNOW.pdf,1Q21,open source,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,1.0,0.0,,,,,,,,,
1Q21-transcript-SNOW.pdf,1Q21,europe,1,0,0,0,0,0,0,0.0,0.0,0.0,0.37660377358490565,0.1339764201500536,-0.5,0.0,1.0,,1.0,,,,,,,,
1Q21-transcript-SNOW.pdf,1Q21,competition,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,1.0,,,6.0,,,,,,,
1Q21-transcript-SNOW.pdf,1Q21,azure,1,0,0,0,0,0,0,0.0,0.0,0.0,0.5513379073756433,0.1339764201500536,-0.5,0.0,1.0,,,,16.0,,,,,,
1Q21-transcript-SNOW.pdf,1Q21,hiring,1,0,0,0,0,0,0,0.0,0.0,0.0,0.20850771869639795,0.1339764201500536,-0.5,0.0,1.0,,,,,0.0,,,,,
1Q21-transcript-SNOW.pdf,1Q21,aws,1,0,0,0,0,0,0,0.0,0.0,0.0,0.5508404802744425,0.2679528403001072,-0.5,0.0,1.0,,,,,,15.0,,,,
1Q21-transcript-SNOW.pdf,1Q21,repurchase,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,1.0,,,,,,,0.0,,,
1Q21-transcript-SNOW.pdf,1Q21,iceberg,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,1.0,,,,,,,,0.0,,
1Q21-transcript-SNOW.pdf,1Q21,partnership,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,1.0,,,,,,,,,0.0,
1Q21-transcript-SNOW.pdf,1Q21,retention,1,0,0,0,0,0,0,0.0,0.0,0.0,0.07142367066895369,0.5359056806002144,-0.5,0.0,1.0,,,,,,,,,,4.0
2Q21-transcript-SNOW.pdf,2Q21,open source,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.73,1.0,6.123233995736766e-17,3.0,,,,,,,,,
2Q21-transcript-SNOW.pdf,2Q21,europe,1,1,1,1,1,1,1,0.3947887879984209,0.27781263247138616,0.22405804992033426,0.16436554898093358,0.11844131232974062,0.73,1.0,6.123233995736766e-17,,0.0,,,,,,,,
2Q21-transcript-SNOW.pdf,2Q21,competition,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.73,1.0,6.123233995736766e-17,,,0.0,,,,,,,
2Q21-transcript-SNOW.pdf,2Q21,azure,1,1,1,1,1,1,1,0.3947887879984209,0.27781263247138616,0.22405804992033426,0.09750894879100007,0.23688262465948123,0.73,1.0,6.123233995736766e-17,,,,16.0,,,,,,
2Q21-transcript-SNOW.pdf,2Q21,hiring,1,1,1,1,1,1,1,0.3947887879984209,0.27781263247138616,0.22405804992033426,0.418891080429542,0.11844131232974062,0.73,1.0,6.123233995736766e-17,,,,,0.0,,,,,
2Q21-transcript-SNOW.pdf,2Q21,aws,1,1,2,1,2,1,2,0.7895775759968418,0.5556252649427723,0.4481160998406685,0.08856746292643729,0.23688262465948123,0.73,1.0,6.123233995736766e-17,,,,,,14.0,,,,
2Q21-transcript-SNOW.pdf,2Q21,repurchase,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.73,1.0,6.123233995736766e-17,,,,,,,0.0,,,
2Q21-transcript-SNOW.pdf,2Q21,iceberg,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.73,1.0,6.123233995736766e-17,,,,,,,,0.0,,
2Q21-transcript-SNOW.pdf,2Q21,partnership,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.73,1.0,6.123233995736766e-17,,,,,,,,,0.0,
2Q21-transcript-SNOW.pdf,2Q21,retention,1,1,4,1,4,1,4,1.5791551519936835,1.1112505298855446,0.896232199681337,0.06728029804952881,0.5922065616487031,0.73,1.0,6.123233995736766e-17,,,,,,,,,,0.0
3Q21-transcript-SNOW.pdf,3Q21,open source,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.66,1.2246467991473532e-16,-1.0,5.0,,,,,,,,,
3Q21-transcript-SNOW.pdf,3Q21,europe,1,1,2,1,2,1,2,0.6711409395973155,0.4861721068249258,0.40330448985660167,0.3116873619703684,0.11946004061641381,1.66,1.2246467991473532e-16,-1.0,,0.0,,,,,,,,
3Q21-transcript-SNOW.pdf,3Q21,competition,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.66,1.2246467991473532e-16,-1.0,,,0.0,,,,,,,
3Q21-transcript-SNOW.pdf,3Q21,azure,0,1,3,1,3,1,3,1.0659297275957362,0.7639847392963119,0.6273625397769359,1.0,0.0,1.66,1.2246467991473532e-16,-1.0,,,,15.0,,,,,,
3Q21-transcript-SNOW.pdf,3Q21,hiring,1,1,2,1,2,1,2,0.6711409395973155,0.4861721068249258,0.40330448985660167,0.21768826876106065,0.3583801218492414,1.66,1.2246467991473532e-16,-1.0,,,,,0.0,,,,,
3Q21-transcript-SNOW.pdf,3Q21,aws,1,1,4,1,4,1,4,1.342281879194631,0.9723442136498516,0.8066089797132033,0.594591432290524,0.11946004061641381,1.66,1.2246467991473532e-16,-1.0,,,,,,16.0,,,,
3Q21-transcript-SNOW.pdf,3Q21,repurchase,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.66,1.2246467991473532e-16,-1.0,,,,,,,0.0,,,
3Q21-transcript-SNOW.pdf,3Q21,iceberg,1,0,0,0,0,0,0,0.0,0.0,0.0,0.2561976218682813,0.11946004061641381,1.66,1.2246467991473532e-16,-1.0,,,,,,,,0.0,,
3Q21-transcript-SNOW.pdf,3Q21,partnership,1,0,0,0,0,0,0,0.0,0.0,0.0,0.12466909452561684,0.11946004061641381,1.66,1.2246467991473532e-16,-1.0,,,,,,,,,0.0,
3Q21-transcript-SNOW.pdf,3Q21,retention,1,1,9,1,9,1,9,3.0793525463876827,2.2225010597710892,1.8372760093467408,0.06445526743012593,0.597300203082069,1.66,1.2246467991473532e-16,-1.0,,,,,,,,,,0.0
4Q21-transcript-SNOW.pdf,4Q21,open source,1,0,0,0,0,0,0,0.0,0.0,0.0,0.11902783840488897,0.11770244821092278,3.0,-1.0,-1.8369701987210297e-16,6.0,,,,,,,,,
4Q21-transcript-SNOW.pdf,4Q21,europe,1,1,3,1,3,1,3,0.8645874457165417,0.6424417125900805,0.5467016418056156,0.9220468338566822,0.23540489642184556,3.0,-1.0,-1.8369701987210297e-16,,1.0,,,,,,,,
4Q21-transcript-SNOW.pdf,4Q21,competition,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,-1.0,-1.8369701987210297e-16,,,5.0,,,,,,,
4Q21-transcript-SNOW.pdf,4Q21,azure,1,1,3,1,3,1,3,0.7461508093170154,0.572988554472234,0.5018900318215488,0.08827463846684597,0.23540489642184556,3.0,-1.0,-1.8369701987210297e-16,,,,25.0,,,,,,
